pertanyaan,jawaban diharapkan
siapa raja pertama di sumedang larang?,Batara Tuntang Buana
siapa nama ayah dari batara tuntang buana?,Prabu Guru Haji Aji Putih
siapa nama lain batara tuntang buana?,Prabu Resi Tajimalela.
siapa nama istri batara tuntang buana?,Ratu Rangga Wulung
siapa nama anak kembar raja batara tuntang buana?,Lembu Agung dan Gajah Agung
pada tahun berapa Prabu Tajimalela memimpin sumedang larang?,721 - 778 M
siapa raja setelah raja batara tuntang buana wafat?,Prabu Gajah Agung
siapa raja kedua sumedang larang?,Prabu Gajah Agung
dimana ibukota sumedang larang dipindahkan pada masa raja gajah agung?,"Ciguling, sekarang sekitar sumedang selatan"
siapa yang memindahkan ibukota sumedang larang ke ciguling?,Prabu Gajah Agung
siapa raja ketiga sumedang larang?,Wirajaya
siapa raja setelah raja gajah agung wafat?,Wirajaya
siapa nama lain dari raja wirajaya?,Sunan Pagulingan
siapa yang memindahkan ibukota sumedang larang ke Cipameungpeuk?,Sunan Pagulingan
mengapa ibukota sumedang larang pindah pada masa pemerintahan Raja Wirajaya?,Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan
dimana ibukota sumedang larang dipindahkan pada masa raja wirajaya?,Cipameungpeuk
siapa nama anak raja Sunan Pagulingan?,Ratu Istri Rajamantri.
pada tahun berapa Sunan Pagulingan memimpin sumedang larang?,998 - 1114 Masehi
siapa raja keempat sumedang larang?,Ratu Istri Rajamantri
siapa ratu pertama sumedang larang?,Ratu Istri Rajamantri
siapa raja yang menggantikan Sunan Pagulingan?,Ratu Istri Rajamantri
pada masa raja siapa sumedang dibawah kerajaan pajajaran?,Ratu Istri Rajamantri
siapa nama suami ratu istri rajamantri?,Prabu Siliwangi
mengapa kerajaan sumedang dibawah kerajaan pajajaran pada masa ratu istri rajamantri?,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.
siapa raja kelima kerajaan sumedang?,Sunan Guling
siapa yang menggantikan ratu istri rajamantri?,Sunan Guling
siapa nama saudara sunan guling?,Ratu Istri Rajamantri
siapa nama saudara Ratu Rajamantri yang menggantikan raja sumedang selanjutnya?,Sunan Guling
siapa raja keenam kerajaan sumedang?,sunan patuakan/prabu tirtakusuma
siapa yang menggantikan sunan guling?,sunan patuakan
siapa raja ketujuh kerajaan sumedang?,Nyimas ratu patuakan
siapa yang menggantikan sunan patuakan?,Nyimas ratu patuakan
siapa raja kedelapan di sumedang larang?,Nyimas Ratu Dewi Inten Dewata
siapa ratu ketiga di sumedang larang?,Nyimas Ratu Dewi Inten Dewata
siapa yang menggantikan nyimas ratu patuakan?,Nyimas Ratu Dewi Inten Dewata
pada masa raja siapa yang memindahkan ibukota sumedang larang ke kutamaya?,Nyimas Ratu Dewi Inten Dewata
siapa nama lain dari nyimas ratu dewi inten dewata?,Ratu pucuk umun
siapa nama suami ratu pucuk umun?,Pangeran Santri / Pangeran Kusumadinata
siapa nama anak ratu pucuk umun?,Raden Angkawijaya
dimana ibukota sumedang larang dipindahkan pada masa Nyimas Ratu Dewi Inten Dewata?,kutamaya (sekarang sebelah barat kota sumedang)
siapa nama anak nyimas ratu dewi inten dewata?,Raden Angkawijaya
siapa raja kesembilan kerajaan sumedang larang?,raden angkawijaya
siapa yang menggantikan ratu pucuk umun?,raden angkawijaya
siapa nama lain dari Raden Angkawijaya?,Prabu Geusan Ulun
pada masa pemerintahan siapa sumedang larang menjadi kerajaan yang otonom dan merdeka?,Prabu Geusan Ulun
dimana wilayah sumedang larang pada masa Prabu Geusan Ulun?,"Wilayahnya meliputi daerah Bandung (kabupaten) sekarang, Karawang, Ciasem, Pamanukan dan Indramayu"
siapa nama istri pertama Prabu Geusan Ulun?,Nyi Mas Cukang Gedengwaru
siapa nama istri kedua Prabu Geusan Ulun?,Ratu Harisbaya
siapa nama anak Prabu Geusan Ulun dari istri pertama?,Pangeran Rangga Gede
siapa nama anak Prabu Geusan Ulun dari istri kedua?,Raden Aria Suriadiwangsa
