kata,objekproperti
anak,punya_anak
ayah,punya_ayah
ibu,punya_ibu
istri,punya_istri
saudara,punya_saudara
suami,punya_suami
setelah,setelah
sebelum,sebelum
dipindahkan,memindahkan_ke
dipindahkan,dijadikan_ibukota
peninggalan,meninggalkan
peninggalan,peninggalan_dari
ganti,setelah
milik,meninggalkan
milik,peninggalan_dari
pindah,memindahkan_ke
pindah,dijadikan_ibukota
memindahkan,memindahkan_ke
memindahkan,dijadikan_ibukota
menggantikan,setelah
meninggalkan,meninggalkan
meninggalkan,peninggalan_dari
pemilik,meninggalkan
pemilik,peninggalan_dari
mendirikan,dialami
mendirikannya,dialami
mendirikan,mengalami
mendirikannya,mengalami
