,pertanyaan test,jawaban test,hasil jawaban
0,siapa raja pertama di sumedang larang?,Batara Tuntang Buana,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
1,siapa nama ayah dari batara tuntang buana?,Prabu Guru Haji Aji Putih,Prabu Guru Haji Aji Putih
2,siapa nama lain batara tuntang buana?,Prabu Resi Tajimalela.,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
3,siapa nama istri batara tuntang buana?,Ratu Rangga Wulung,Ratu Rangga Wulung
4,siapa nama anak kembar raja batara tuntang buana?,Lembu Agung dan Gajah Agung,"Prabu Gajah Agung, Prabu Lembu Agung"
5,pada tahun berapa Prabu Tajimalela memimpin sumedang larang?,721 - 778 M,721 - 778 M
6,siapa raja setelah raja batara tuntang buana wafat?,Prabu Gajah Agung,Prabu Gajah Agung
7,siapa raja kedua sumedang larang?,Prabu Gajah Agung,Prabu Gajah Agung
8,dimana ibukota sumedang larang dipindahkan pada masa raja gajah agung?,"Ciguling, sekarang sekitar sumedang selatan",Ciguling (sekarang sekitar Sumedang Selatan)
9,siapa yang memindahkan ibukota sumedang larang ke ciguling?,Prabu Gajah Agung,Prabu Gajah Agung
10,siapa raja ketiga sumedang larang?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan
11,siapa raja setelah raja gajah agung wafat?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan
12,siapa nama lain dari raja wirajaya?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan
13,siapa yang memindahkan ibukota sumedang larang ke Cipameungpeuk?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan
14,mengapa ibukota sumedang larang pindah pada masa pemerintahan Raja Wirajaya?,Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan,"Cipameungpeuk, Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan"
15,dimana ibukota sumedang larang dipindahkan pada masa raja wirajaya?,Cipameungpeuk,Cipameungpeuk
16,siapa nama anak raja Sunan Pagulingan?,Ratu Istri Rajamantri.,Ratu Istri Rajamantri
17,pada tahun berapa Sunan Pagulingan memimpin sumedang larang?,998 - 1114 Masehi,998 - 1114 M
18,siapa raja keempat sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
19,siapa ratu pertama sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
20,siapa raja yang menggantikan Sunan Pagulingan?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
21,pada masa raja siapa sumedang dibawah kerajaan pajajaran?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
22,siapa nama suami ratu istri rajamantri?,Prabu Siliwangi,Prabu Siliwangi
23,mengapa kerajaan sumedang dibawah kerajaan pajajaran pada masa ratu istri rajamantri?,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.
24,siapa raja kelima kerajaan sumedang?,Sunan Guling,Sunan Guling
25,siapa yang menggantikan ratu istri rajamantri?,Sunan Guling,Sunan Guling
26,siapa nama saudara sunan guling?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
27,siapa nama saudara Ratu Rajamantri yang menggantikan raja sumedang selanjutnya?,Sunan Guling,Sunan Guling
28,siapa raja keenam kerajaan sumedang?,sunan patuakan/prabu tirtakusuma,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan
29,siapa yang menggantikan sunan guling?,sunan patuakan,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan
30,siapa raja ketujuh kerajaan sumedang?,Nyimas ratu patuakan,Nyimas Ratu Patuakan
31,siapa yang menggantikan sunan patuakan?,Nyimas ratu patuakan,Nyimas Ratu Patuakan
32,siapa raja kedelapan di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
33,siapa ratu ketiga di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
34,siapa yang menggantikan nyimas ratu patuakan?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
35,pada masa raja siapa yang memindahkan ibukota sumedang larang ke kutamaya?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
36,siapa nama lain dari nyimas ratu dewi inten dewata?,Ratu pucuk umun,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
37,siapa nama suami ratu pucuk umun?,Pangeran Santri / Pangeran Kusumadinata,Pangeran Kusumadinata
38,siapa nama anak ratu pucuk umun?,Raden Angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
39,dimana ibukota sumedang larang dipindahkan pada masa Nyimas Ratu Dewi Inten Dewata?,kutamaya (sekarang sebelah barat kota sumedang),Kutamaya (sekarang sebelah barat Kota Sumedang)
