,pertanyaan,jawaban diharapkan,hasil jawaban,hasil tag
0,siapa raja pertama di sumedang larang?,Batara Tuntang Buana,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela,"[['siapa', 'CD'], ['raja', 'NN'], ['pertama', 'OD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
1,siapa nama ayah dari batara tuntang buana?,Prabu Guru Haji Aji Putih,Prabu Guru Haji Aji Putih,"[['siapa', 'CD'], ['nama', 'NN'], ['ayah', 'NN'], ['batara', 'NN'], ['tuntang', 'NN'], ['buana', 'NN']]"
2,siapa nama lain batara tuntang buana?,Prabu Resi Tajimalela.,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela,"[['siapa', 'CD'], ['nama', 'NN'], ['batara', 'NN'], ['tuntang', 'NN'], ['buana', 'NN']]"
3,siapa nama istri batara tuntang buana?,Ratu Rangga Wulung,Ratu Rangga Wulung,"[['siapa', 'CD'], ['nama', 'NN'], ['istri', 'NN'], ['batara', 'NN'], ['tuntang', 'NN'], ['buana', 'NN']]"
4,siapa nama anak kembar raja batara tuntang buana?,Lembu Agung dan Gajah Agung,"Prabu Gajah Agung, Prabu Lembu Agung","[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['kembar', 'NN'], ['raja', 'NN'], ['batara', 'NN'], ['tuntang', 'NN'], ['buana', 'NN']]"
5,pada tahun berapa Prabu Tajimalela memimpin sumedang larang?,721 - 778 M,721 - 778 M,"[['tahun', 'NN'], ['berapa', 'WH'], ['prabu', 'NN'], ['tajimalela', 'NN'], ['memimpin', 'VB'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
6,siapa raja setelah raja batara tuntang buana wafat?,Prabu Gajah Agung,Prabu Gajah Agung,"[['siapa', 'CD'], ['raja', 'NN'], ['setelah', 'SC'], ['raja', 'NN'], ['batara', 'NN'], ['tuntang', 'NN'], ['buana', 'NN'], ['wafat', 'VB']]"
7,siapa raja kedua sumedang larang?,Prabu Gajah Agung,Prabu Gajah Agung,"[['siapa', 'CD'], ['raja', 'NN'], ['kedua', 'OD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
8,dimana ibukota sumedang larang dipindahkan pada masa raja gajah agung?,"Ciguling, sekarang sekitar sumedang selatan",Ciguling (sekarang sekitar Sumedang Selatan),"[['dimana', 'NN'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['dipindahkan', 'VB'], ['masa', 'NN'], ['raja', 'NN'], ['gajah', 'NN'], ['agung', 'NNP']]"
9,siapa yang memindahkan ibukota sumedang larang ke ciguling?,Prabu Gajah Agung,Prabu Gajah Agung,"[['siapa', 'SC'], ['memindahkan', 'VB'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['ciguling', 'NNP']]"
10,siapa raja ketiga sumedang larang?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan,"[['siapa', 'CD'], ['raja', 'NN'], ['ketiga', 'OD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
11,siapa raja setelah raja gajah agung wafat?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan,"[['siapa', 'CD'], ['raja', 'NN'], ['setelah', 'SC'], ['raja', 'NN'], ['gajah', 'NN'], ['agung', 'NNP'], ['wafat', 'VB']]"
12,siapa nama lain dari raja wirajaya?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan,"[['siapa', 'CD'], ['nama', 'NN'], ['dari', 'IN'], ['raja', 'NN'], ['wirajaya', 'NN']]"
13,siapa yang memindahkan ibukota sumedang larang ke Cipameungpeuk?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan,"[['siapa', 'SC'], ['memindahkan', 'VB'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['cipameungpeuk', 'NNP']]"
14,mengapa ibukota sumedang larang pindah pada masa pemerintahan Raja Wirajaya?,Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan,"Cipameungpeuk, Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan","[['mengapa', 'WH'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['pindah', 'JJ'], ['masa', 'NN'], ['pemerintahan', 'NN'], ['raja', 'NN'], ['wirajaya', 'NN']]"
15,dimana ibukota sumedang larang dipindahkan pada masa raja wirajaya?,Cipameungpeuk,Cipameungpeuk,"[['dimana', 'NN'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['dipindahkan', 'VB'], ['masa', 'NN'], ['raja', 'NN'], ['wirajaya', 'NN']]"
16,siapa nama anak raja Sunan Pagulingan?,Ratu Istri Rajamantri.,Ratu Istri Rajamantri,"[['siapa', 'CD'], ['nama', 'NN'], ['anak', 'NN'], ['raja', 'NN'], ['sunan', 'NN'], ['pagulingan', 'NN']]"
17,pada tahun berapa Sunan Pagulingan memimpin sumedang larang?,998 - 1114 Masehi,998 - 1114 M,"[['tahun', 'NN'], ['berapa', 'WH'], ['sunan', 'NN'], ['pagulingan', 'NN'], ['memimpin', 'VB'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
18,siapa raja keempat sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri,"[['siapa', 'CD'], ['raja', 'NN'], ['keempat', 'OD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
19,siapa ratu pertama sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri,"[['siapa', 'CD'], ['ratu', 'NN'], ['pertama', 'OD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
20,siapa raja yang menggantikan Sunan Pagulingan?,Ratu Istri Rajamantri,Ratu Istri Rajamantri,"[['siapa', 'WH'], ['raja', 'NN'], ['menggantikan', 'VB'], ['sunan', 'NN'], ['pagulingan', 'NN']]"
21,pada masa raja siapa sumedang dibawah kerajaan pajajaran?,Ratu Istri Rajamantri,Ratu Istri Rajamantri,"[['masa', 'NN'], ['raja', 'NN'], ['siapa', 'SC'], ['sumedang', 'NNP'], ['dibawah', 'NN'], ['kerajaan', 'NN'], ['pajajaran', 'NNP']]"
22,siapa nama suami ratu istri rajamantri?,Prabu Siliwangi,Prabu Siliwangi,"[['siapa', 'CD'], ['nama', 'NN'], ['suami', 'NN'], ['ratu', 'NN'], ['istri', 'NN'], ['rajamantri', 'NN']]"
23,mengapa kerajaan sumedang dibawah kerajaan pajajaran pada masa ratu istri rajamantri?,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.,"[['mengapa', 'WH'], ['kerajaan', 'NN'], ['sumedang', 'NNP'], ['dibawah', 'NN'], ['kerajaan', 'NN'], ['pajajaran', 'NNP'], ['masa', 'NN'], ['ratu', 'NN'], ['istri', 'NN'], ['rajamantri', 'NN']]"
24,siapa raja kelima kerajaan sumedang?,Sunan Guling,Sunan Guling,"[['siapa', 'CD'], ['raja', 'NN'], ['kelima', 'CD'], ['kerajaan', 'NN'], ['sumedang', 'NNP']]"
25,siapa yang menggantikan ratu istri rajamantri?,Sunan Guling,Sunan Guling,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['ratu', 'NN'], ['istri', 'NN'], ['rajamantri', 'NN']]"
26,siapa nama saudara sunan guling?,Ratu Istri Rajamantri,Ratu Istri Rajamantri,"[['siapa', 'CD'], ['nama', 'NN'], ['saudara', 'NN'], ['sunan', 'NN'], ['guling', 'NN']]"
27,siapa nama saudara Ratu Rajamantri yang menggantikan raja sumedang selanjutnya?,Sunan Guling,Sunan Guling,"[['siapa', 'CD'], ['nama', 'NN'], ['saudara', 'NN'], ['ratu', 'NN'], ['rajamantri', 'NN'], ['menggantikan', 'VB'], ['raja', 'NN'], ['sumedang', 'NNP'], ['selanjutnya', 'CC']]"
28,siapa raja keenam kerajaan sumedang?,sunan patuakan/prabu tirtakusuma,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan,"[['siapa', 'CD'], ['raja', 'NN'], ['keenam', 'CD'], ['kerajaan', 'NN'], ['sumedang', 'NNP']]"
29,siapa yang menggantikan sunan guling?,sunan patuakan,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['sunan', 'NN'], ['guling', 'NN']]"
30,siapa raja ketujuh kerajaan sumedang?,Nyimas ratu patuakan,Nyimas Ratu Patuakan,"[['siapa', 'CD'], ['raja', 'NN'], ['ketujuh', 'CD'], ['kerajaan', 'NN'], ['sumedang', 'NNP']]"
31,siapa yang menggantikan sunan patuakan?,Nyimas ratu patuakan,Nyimas Ratu Patuakan,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['sunan', 'NN'], ['patuakan', 'NN']]"
32,siapa raja kedelapan di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun,"[['siapa', 'CD'], ['raja', 'NN'], ['kedelapan', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
33,siapa ratu ketiga di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun,"[['siapa', 'CD'], ['ratu', 'NN'], ['ketiga', 'CD'], ['sumedang', 'NNP'], ['larang', 'NNP']]"
34,siapa yang menggantikan nyimas ratu patuakan?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun,"[['siapa', 'SC'], ['menggantikan', 'VB'], ['nyimas', 'NN'], ['ratu', 'NN'], ['patuakan', 'NN']]"
35,pada masa raja siapa yang memindahkan ibukota sumedang larang ke kutamaya?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun,"[['masa', 'NN'], ['raja', 'NN'], ['siapa', 'SC'], ['memindahkan', 'VB'], ['ibukota', 'NN'], ['sumedang', 'NNP'], ['larang', 'NNP'], ['kutamaya', 'NNP']]"
